"","time","strain","count","dilution","cfu","frequency","ID","media","group","evo_group","eco_by_vessel","cfu_diff","cfu_diff_day"
"1",0,"∆metB",149,4,14900000,0.503378378378378,"T1.1","a","a","tube","tube_b",0,0
"2",0,"∆metB",141,4,14100000,0.503571428571429,"T1.2","a","b","tube","tube_b",0,0
"3",0,"∆metB",156,4,15600000,0.534246575342466,"T1.3","a","c","tube","tube_b",0,0
"4",0,"∆metB",134,4,13400000,0.465277777777778,"T2.1","b","d","tube","tube_b",0,0
"5",0,"∆metB",174,4,17400000,0.550632911392405,"T2.2","b","e","tube","tube_b",0,0
"6",0,"∆metB",179,4,17900000,0.507082152974504,"T2.3","b","f","tube","tube_b",0,0
"7",0,"∆metB",175,4,17500000,0.620567375886525,"T3.1","c","g","tube","tube_b",0,0
"8",0,"∆metB",137,4,13700000,0.568464730290456,"T3.2","c","h","tube","tube_b",0,0
"9",0,"∆metB",190,4,1.9e+07,0.568862275449102,"T3.3","c","i","tube","tube_b",0,0
"10",0,"∆metJ",147,4,14700000,0.496621621621622,"T1.1","d","m","tube","tube_j",0,0
"11",0,"∆metJ",139,4,13900000,0.496428571428571,"T1.2","d","n","tube","tube_j",0,0
"12",0,"∆metJ",136,4,13600000,0.465753424657534,"T1.3","d","o","tube","tube_j",0,0
"13",0,"∆metJ",154,4,15400000,0.534722222222222,"T2.1","e","p","tube","tube_j",0,0
"14",0,"∆metJ",142,4,14200000,0.449367088607595,"T2.2","e","q","tube","tube_j",0,0
"15",0,"∆metJ",174,4,17400000,0.492917847025496,"T2.3","e","r","tube","tube_j",0,0
"16",0,"∆metJ",107,4,10700000,0.379432624113475,"T3.1","f","s","tube","tube_j",0,0
"17",0,"∆metJ",104,4,10400000,0.431535269709544,"T3.2","f","t","tube","tube_j",0,0
"18",0,"∆metJ",144,4,14400000,0.431137724550898,"T3.3","f","u","tube","tube_j",0,0
"19",1,"∆metB",4,6,4e+07,0.0470588235294118,"T1.1","a","a","tube","tube_b",25100000,25100000
"20",1,"∆metB",2,6,2e+07,0.0208333333333333,"T1.2","a","b","tube","tube_b",5900000,5900000
"21",1,"∆metB",5,6,5e+07,0.0384615384615385,"T1.3","a","c","tube","tube_b",34400000,34400000
"22",1,"∆metB",2,6,2e+07,0.0143884892086331,"T2.1","b","d","tube","tube_b",6600000,6600000
"23",1,"∆metB",1,6,1e+07,0.00884955752212389,"T2.2","b","e","tube","tube_b",-7400000,-7400000
"24",1,"∆metB",3,6,3e+07,0.0215827338129496,"T2.3","b","f","tube","tube_b",12100000,12100000
"25",1,"∆metB",5,6,5e+07,0.0471698113207547,"T3.1","c","g","tube","tube_b",32500000,32500000
"26",1,"∆metB",1,6,1e+07,0.00740740740740741,"T3.2","c","h","tube","tube_b",-3700000,-3700000
"27",1,"∆metB",5,6,5e+07,0.0373134328358209,"T3.3","c","i","tube","tube_b",3.1e+07,3.1e+07
"28",1,"∆metJ",81,6,8.1e+08,0.952941176470588,"T1.1","d","m","tube","tube_j",795300000,795300000
"29",1,"∆metJ",94,6,9.4e+08,0.979166666666667,"T1.2","d","n","tube","tube_j",926100000,926100000
"30",1,"∆metJ",125,6,1.25e+09,0.961538461538462,"T1.3","d","o","tube","tube_j",1236400000,1236400000
"31",1,"∆metJ",137,6,1.37e+09,0.985611510791367,"T2.1","e","p","tube","tube_j",1354600000,1354600000
"32",1,"∆metJ",112,6,1.12e+09,0.991150442477876,"T2.2","e","q","tube","tube_j",1105800000,1105800000
"33",1,"∆metJ",136,6,1.36e+09,0.97841726618705,"T2.3","e","r","tube","tube_j",1342600000,1342600000
"34",1,"∆metJ",101,6,1.01e+09,0.952830188679245,"T3.1","f","s","tube","tube_j",999300000,999300000
"35",1,"∆metJ",134,6,1.34e+09,0.992592592592593,"T3.2","f","t","tube","tube_j",1329600000,1329600000
"36",1,"∆metJ",129,6,1.29e+09,0.962686567164179,"T3.3","f","u","tube","tube_j",1275600000,1275600000
"37",2,"∆metB",3,6,3e+07,0.0344827586206897,"T1.1","a","a","tube","tube_b",-1e+07,-1e+07
"38",2,"∆metB",2,6,2e+07,0.0224719101123595,"T1.2","a","b","tube","tube_b",0,0
"39",2,"∆metB",6,6,6e+07,0.0810810810810811,"T1.3","a","c","tube","tube_b",1e+07,1e+07
"40",2,"∆metB",1,6,1e+07,0.008,"T2.1","b","d","tube","tube_b",-1e+07,-1e+07
"41",2,"∆metB",3,6,3e+07,0.0176470588235294,"T2.2","b","e","tube","tube_b",2e+07,2e+07
"42",2,"∆metB",1,6,1e+07,0.0062111801242236,"T2.3","b","f","tube","tube_b",-2e+07,-2e+07
"43",2,"∆metB",2,6,2e+07,0.0114942528735632,"T3.1","c","g","tube","tube_b",-3e+07,-3e+07
"44",2,"∆metB",3,6,3e+07,0.0174418604651163,"T3.2","c","h","tube","tube_b",2e+07,2e+07
"45",2,"∆metB",1,6,1e+07,0.00613496932515337,"T3.3","c","i","tube","tube_b",-4e+07,-4e+07
"46",2,"∆metJ",84,6,8.4e+08,0.96551724137931,"T1.1","d","m","tube","tube_j",3e+07,3e+07
"47",2,"∆metJ",87,6,8.7e+08,0.97752808988764,"T1.2","d","n","tube","tube_j",-7e+07,-7e+07
"48",2,"∆metJ",68,6,6.8e+08,0.918918918918919,"T1.3","d","o","tube","tube_j",-5.7e+08,-5.7e+08
"49",2,"∆metJ",124,6,1.24e+09,0.992,"T2.1","e","p","tube","tube_j",-1.3e+08,-1.3e+08
"50",2,"∆metJ",167,6,1.67e+09,0.98235294117647,"T2.2","e","q","tube","tube_j",5.5e+08,5.5e+08
"51",2,"∆metJ",160,6,1.6e+09,0.993788819875776,"T2.3","e","r","tube","tube_j",2.4e+08,2.4e+08
"52",2,"∆metJ",172,6,1.72e+09,0.988505747126437,"T3.1","f","s","tube","tube_j",7.1e+08,7.1e+08
"53",2,"∆metJ",169,6,1.69e+09,0.982558139534884,"T3.2","f","t","tube","tube_j",3.5e+08,3.5e+08
