"","time","culture","cfu","eco","count","dilution","pop","popabc","relfreq","cycle","culture_type","r_dep"
"1",0,"MCF2",8e+05,"op",4,3,1,"a",0.444444444444444,2,"cf",1.9303648555203
"2",0,"MCF2",2e+05,"op",1,3,2,"b",0.333333333333333,2,"cf",1.79175946922805
"3",0,"MCF2",80000,"op",4,2,3,"c",0.117647058823529,2,"cf",1.90333124488516
"4",0,"MCF2",1e+06,"aux",5,3,1,"a",0.555555555555556,2,"cf",-1.9303648555203
"5",0,"MCF2",4e+05,"aux",2,3,2,"b",0.666666666666667,2,"cf",-1.79175946922805
"6",0,"MCF2",6e+05,"aux",3,3,3,"c",0.88235294117647,2,"cf",-1.90333124488516
"7",2,"MCF2",7.6e+08,"op",38,5,1,"a",0.974358974358974,2,"cf",1.69397607745607
"8",2,"MCF2",7.2e+08,"op",36,5,2,"b",0.947368421052632,2,"cf",0.654666659991881
"9",2,"MCF2",4.8e+08,"op",24,5,3,"c",0.857142857142857,2,"cf",0.549306144334055
"10",2,"MCF2",2e+07,"aux",1,5,1,"a",0.0256410256410256,2,"cf",-1.69397607745607
"11",2,"MCF2",4e+07,"aux",2,5,2,"b",0.0526315789473684,2,"cf",-0.654666659991881
"12",2,"MCF2",8e+07,"aux",4,5,3,"c",0.142857142857143,2,"cf",-0.549306144334055
"13",4,"MCF2",9e+08,"op",45,5,1,"a",0.99911190053286,2,"cf",-0.863610474045242
"14",4,"MCF2",4e+08,"op",20,5,2,"b",0.985221674876847,2,"cf",1.30134484272219
"15",4,"MCF2",3.6e+08,"op",18,5,3,"c",0.947368421052632,2,"cf",2.70183894110293
"16",4,"MCF2",8e+05,"aux",4,3,1,"a",0.00088809946714032,2,"cf",0.863610474045242
"17",4,"MCF2",6e+06,"aux",3,4,2,"b",0.0147783251231527,2,"cf",-1.30134484272219
"18",4,"MCF2",2e+07,"aux",1,5,3,"c",0.0526315789473684,2,"cf",-2.70183894110293
"19",6,"MCF2",2e+08,"op",1,6,1,"a",0.995024875621891,2,"cf",-1.36668400454325
"20",6,"MCF2",1.8e+08,"op",9,5,2,"b",0.99889012208657,2,"cf",-2.04717228111105
"21",6,"MCF2",8e+08,"op",4,6,3,"c",0.999750062484379,2,"cf",-3.45387763949107
"22",6,"MCF2",1e+06,"aux",5,3,1,"a",0.00497512437810945,2,"cf",1.36668400454325
"23",6,"MCF2",2e+05,"aux",1,3,2,"b",0.00110987791342952,2,"cf",2.04717228111105
"24",6,"MCF2",2e+05,"aux",1,3,3,"c",0.000249937515621095,2,"cf",3.45387763949107
"25",8,"MCF2",5.2e+07,"op",26,4,1,"a",0.928571428571429,2,"cf",-0.131182132233746
"26",8,"MCF2",3e+07,"op",15,4,2,"b",0.9375,2,"cf",0.423648930193602
"27",8,"MCF2",2.4e+07,"op",12,4,3,"c",0.8,2,"cf",1.26286432215413
"28",8,"MCF2",4e+06,"aux",2,4,1,"a",0.0714285714285714,2,"cf",0.131182132233746
"29",8,"MCF2",2e+06,"aux",1,4,2,"b",0.0625,2,"cf",-0.423648930193602
"30",8,"MCF2",6e+06,"aux",3,4,3,"c",0.2,2,"cf",-1.26286432215413
"31",10,"MCF2",6e+08,"op",30,5,1,"a",0.909090909090909,2,"cf",0.549306144334055
"32",10,"MCF2",7e+08,"op",35,5,2,"b",0.972222222222222,2,"cf",-0.578726394345522
"33",10,"MCF2",1e+09,"op",50,5,3,"c",0.980392156862745,2,"cf",-0.111571775657105
"34",10,"MCF2",6e+07,"aux",3,5,1,"a",0.0909090909090909,2,"cf",-0.549306144334055
"35",10,"MCF2",2e+07,"aux",1,5,2,"b",0.0277777777777778,2,"cf",0.578726394345522
"36",10,"MCF2",2e+07,"aux",1,5,3,"c",0.0196078431372549,2,"cf",0.111571775657105
"37",12,"MCF2",6e+08,"op",30,5,1,"a",0.967741935483871,2,"cf",-1.25694709333063
"38",12,"MCF2",6.6e+08,"op",33,5,2,"b",0.916666666666667,2,"cf",-0.596961234236217
"39",12,"MCF2",8e+08,"op",40,5,3,"c",0.975609756097561,2,"cf",1.12564589930325
"40",12,"MCF2",2e+07,"aux",1,5,1,"a",0.032258064516129,2,"cf",1.25694709333063
"41",12,"MCF2",6e+07,"aux",3,5,2,"b",0.0833333333333333,2,"cf",0.596961234236217
"42",12,"MCF2",2e+07,"aux",1,5,3,"c",0.024390243902439,2,"cf",-1.12564589930325
"43",14,"MCF2",3.4e+08,"op",17,5,1,"a",0.708333333333333,2,"cf",0.0341041250132667
"44",14,"MCF2",4e+08,"op",20,5,2,"b",0.769230769230769,2,"cf",0.640466922731032
"45",14,"MCF2",7.6e+08,"op",38,5,3,"c",0.99737532808399,2,"cf",-1.497866136777
"46",14,"MCF2",1.4e+08,"aux",7,5,1,"a",0.291666666666667,2,"cf",-0.0341041250132667
