"","time","count","eco","dilution","cfu","replicate","which_comp","facet"
"1",0,84,"∆metJ",4,8400000,1,"Overproducer *∆metJ*","Co-Culture vs wild-type"
"2",0,76,"∆metJ",4,7600000,2,"Overproducer *∆metJ*","Co-Culture vs wild-type"
"3",0,86,"∆metJ",4,8600000,3,"Overproducer *∆metJ*","Co-Culture vs wild-type"
"4",0,78,"∆metJ",4,7800000,4,"Overproducer *∆metJ*","Co-Culture vs wild-type"
"5",0,38,"∆metJ",4,3800000,5,"Overproducer *∆metJ*","Co-Culture vs wild-type"
"6",0,76,"∆metJ",4,7600000,6,"Overproducer *∆metJ*","Co-Culture vs wild-type"
"7",0,25,"∆metJ",4,2500000,7,"Overproducer *∆metJ*","Co-Culture vs wild-type"
"8",0,35,"∆metJ",4,3500000,8,"Overproducer *∆metJ*","Co-Culture vs wild-type"
"9",0,67,"∆metJ",4,6700000,9,"Overproducer *∆metJ*","Co-Culture vs wild-type"
"10",0,64,"∆metJ",4,6400000,10,"Overproducer *∆metJ*","Co-Culture vs wild-type"
"11",0,23,"∆metJ",4,2300000,11,"Overproducer *∆metJ*","Co-Culture vs wild-type"
"12",0,76,"∆metJ",4,7600000,12,"Overproducer *∆metJ*","Co-Culture vs wild-type"
"13",1,16,"∆metJ",6,1.6e+08,1,"Overproducer *∆metJ*","Co-Culture vs wild-type"
"14",1,28,"∆metJ",6,2.8e+08,2,"Overproducer *∆metJ*","Co-Culture vs wild-type"
"15",1,37,"∆metJ",6,3.7e+08,3,"Overproducer *∆metJ*","Co-Culture vs wild-type"
"16",1,28,"∆metJ",6,2.8e+08,4,"Overproducer *∆metJ*","Co-Culture vs wild-type"
"17",1,34,"∆metJ",6,3.4e+08,5,"Overproducer *∆metJ*","Co-Culture vs wild-type"
"18",1,18,"∆metJ",6,1.8e+08,6,"Overproducer *∆metJ*","Co-Culture vs wild-type"
"19",1,19,"∆metJ",6,1.9e+08,7,"Overproducer *∆metJ*","Co-Culture vs wild-type"
"20",1,20,"∆metJ",6,2e+08,8,"Overproducer *∆metJ*","Co-Culture vs wild-type"
"21",1,23,"∆metJ",6,2.3e+08,9,"Overproducer *∆metJ*","Co-Culture vs wild-type"
"22",1,27,"∆metJ",6,2.7e+08,10,"Overproducer *∆metJ*","Co-Culture vs wild-type"
"23",1,33,"∆metJ",6,3.3e+08,11,"Overproducer *∆metJ*","Co-Culture vs wild-type"
"24",1,36,"∆metJ",6,3.6e+08,12,"Overproducer *∆metJ*","Co-Culture vs wild-type"
"25",4,12,"∆metJ",6,1.2e+08,1,"Overproducer *∆metJ*","Co-Culture vs wild-type"
"26",4,18,"∆metJ",6,1.8e+08,2,"Overproducer *∆metJ*","Co-Culture vs wild-type"
"27",4,20,"∆metJ",6,2e+08,3,"Overproducer *∆metJ*","Co-Culture vs wild-type"
"28",4,21,"∆metJ",6,2.1e+08,4,"Overproducer *∆metJ*","Co-Culture vs wild-type"
"29",4,30,"∆metJ",6,3e+08,5,"Overproducer *∆metJ*","Co-Culture vs wild-type"
"30",4,15,"∆metJ",6,1.5e+08,6,"Overproducer *∆metJ*","Co-Culture vs wild-type"
"31",4,13,"∆metJ",6,1.3e+08,7,"Overproducer *∆metJ*","Co-Culture vs wild-type"
"32",4,17,"∆metJ",6,1.7e+08,8,"Overproducer *∆metJ*","Co-Culture vs wild-type"
"33",4,22,"∆metJ",6,2.2e+08,9,"Overproducer *∆metJ*","Co-Culture vs wild-type"
"34",4,10,"∆metJ",6,1e+08,10,"Overproducer *∆metJ*","Co-Culture vs wild-type"
"35",4,15,"∆metJ",6,1.5e+08,11,"Overproducer *∆metJ*","Co-Culture vs wild-type"
"36",4,20,"∆metJ",6,2e+08,12,"Overproducer *∆metJ*","Co-Culture vs wild-type"
"37",7,20,"∆metJ",5,2e+07,1,"Overproducer *∆metJ*","Co-Culture vs wild-type"
"38",7,42,"∆metJ",5,4.2e+07,2,"Overproducer *∆metJ*","Co-Culture vs wild-type"
"39",7,50,"∆metJ",5,5e+07,3,"Overproducer *∆metJ*","Co-Culture vs wild-type"
"40",7,8,"∆metJ",6,8e+07,4,"Overproducer *∆metJ*","Co-Culture vs wild-type"
"41",7,31,"∆metJ",5,3.1e+07,5,"Overproducer *∆metJ*","Co-Culture vs wild-type"
"42",7,8,"∆metJ",6,8e+07,6,"Overproducer *∆metJ*","Co-Culture vs wild-type"
"43",7,10,"∆metJ",6,1e+08,7,"Overproducer *∆metJ*","Co-Culture vs wild-type"
"44",7,14,"∆metJ",6,1.4e+08,8,"Overproducer *∆metJ*","Co-Culture vs wild-type"
"45",7,47,"∆metJ",5,4.7e+07,9,"Overproducer *∆metJ*","Co-Culture vs wild-type"
"46",7,54,"∆metJ",5,5.4e+07,10,"Overproducer *∆metJ*","Co-Culture vs wild-type"
"47",7,24,"∆metJ",5,2.4e+07,11,"Overproducer *∆metJ*","Co-Culture vs wild-type"
"48",7,5,"∆metJ",6,5e+07,12,"Overproducer *∆metJ*","Co-Culture vs wild-type"
"49",10,2,"∆metJ",5,2e+06,1,"Overproducer *∆metJ*","Co-Culture vs wild-type"
"50",10,8,"∆metJ",5,8e+06,2,"Overproducer *∆metJ*","Co-Culture vs wild-type"
"51",10,9,"∆metJ",5,9e+06,3,"Overproducer *∆metJ*","Co-Culture vs wild-type"
"52",10,34,"∆metJ",5,3.4e+07,4,"Overproducer *∆metJ*","Co-Culture vs wild-type"
"53",10,5,"∆metJ",5,5e+06,5,"Overproducer *∆metJ*","Co-Culture vs wild-type"
"54",10,10,"∆metJ",5,1e+07,6,"Overproducer *∆metJ*","Co-Culture vs wild-type"
"55",10,4,"∆metJ",5,4e+06,7,"Overproducer *∆metJ*","Co-Culture vs wild-type"
"56",10,7,"∆metJ",5,7e+06,8,"Overproducer *∆metJ*","Co-Culture vs wild-type"
"57",10,25,"∆metJ",5,2.5e+07,9,"Overproducer *∆metJ*","Co-Culture vs wild-type"
"58",10,14,"∆metJ",5,1.4e+07,10,"Overproducer *∆metJ*","Co-Culture vs wild-type"
"59",10,8,"∆metJ",5,8e+06,11,"Overproducer *∆metJ*","Co-Culture vs wild-type"
"60",10,0,"∆metJ",5,0,12,"Overproducer *∆metJ*","Co-Culture vs wild-type"
"61",0,85,"wt",4,8500000,1,"Overproducer *∆metJ*","Co-Culture vs wild-type"
"62",0,67,"wt",4,6700000,2,"Overproducer *∆metJ*","Co-Culture vs wild-type"
"63",0,75,"wt",4,7500000,3,"Overproducer *∆metJ*","Co-Culture vs wild-type"
"64",0,74,"wt",4,7400000,4,"Overproducer *∆metJ*","Co-Culture vs wild-type"
"65",0,57,"wt",4,5700000,5,"Overproducer *∆metJ*","Co-Culture vs wild-type"
"66",0,69,"wt",4,6900000,6,"Overproducer *∆metJ*","Co-Culture vs wild-type"
"67",0,66,"wt",4,6600000,7,"Overproducer *∆metJ*","Co-Culture vs wild-type"
"68",0,73,"wt",4,7300000,8,"Overproducer *∆metJ*","Co-Culture vs wild-type"
"69",0,78,"wt",4,7800000,9,"Overproducer *∆metJ*","Co-Culture vs wild-type"
"70",0,73,"wt",4,7300000,10,"Overproducer *∆metJ*","Co-Culture vs wild-type"
"71",0,50,"wt",4,5e+06,11,"Overproducer *∆metJ*","Co-Culture vs wild-type"
"72",0,72,"wt",4,7200000,12,"Overproducer *∆metJ*","Co-Culture vs wild-type"
"73",1,26,"wt",6,2.6e+08,1,"Overproducer *∆metJ*","Co-Culture vs wild-type"
"74",1,75,"wt",6,7.5e+08,2,"Overproducer *∆metJ*","Co-Culture vs wild-type"
"75",1,84,"wt",6,8.4e+08,3,"Overproducer *∆metJ*","Co-Culture vs wild-type"
"76",1,77,"wt",6,7.7e+08,4,"Overproducer *∆metJ*","Co-Culture vs wild-type"
"77",1,88,"wt",6,8.8e+08,5,"Overproducer *∆metJ*","Co-Culture vs wild-type"
"78",1,45,"wt",6,4.5e+08,6,"Overproducer *∆metJ*","Co-Culture vs wild-type"
"79",1,71,"wt",6,7.1e+08,7,"Overproducer *∆metJ*","Co-Culture vs wild-type"
"80",1,77,"wt",6,7.7e+08,8,"Overproducer *∆metJ*","Co-Culture vs wild-type"
"81",1,84,"wt",6,8.4e+08,9,"Overproducer *∆metJ*","Co-Culture vs wild-type"
"82",1,68,"wt",6,6.8e+08,10,"Overproducer *∆metJ*","Co-Culture vs wild-type"
"83",1,85,"wt",6,8.5e+08,11,"Overproducer *∆metJ*","Co-Culture vs wild-type"
"84",1,84,"wt",6,8.4e+08,12,"Overproducer *∆metJ*","Co-Culture vs wild-type"
"85",4,59,"wt",6,5.9e+08,1,"Overproducer *∆metJ*","Co-Culture vs wild-type"
"86",4,66,"wt",6,6.6e+08,2,"Overproducer *∆metJ*","Co-Culture vs wild-type"
"87",4,51,"wt",6,5.1e+08,3,"Overproducer *∆metJ*","Co-Culture vs wild-type"
"88",4,68,"wt",6,6.8e+08,4,"Overproducer *∆metJ*","Co-Culture vs wild-type"
"89",4,64,"wt",6,6.4e+08,5,"Overproducer *∆metJ*","Co-Culture vs wild-type"
"90",4,69,"wt",6,6.9e+08,6,"Overproducer *∆metJ*","Co-Culture vs wild-type"
"91",4,52,"wt",6,5.2e+08,7,"Overproducer *∆metJ*","Co-Culture vs wild-type"
"92",4,63,"wt",6,6.3e+08,8,"Overproducer *∆metJ*","Co-Culture vs wild-type"
"93",4,69,"wt",6,6.9e+08,9,"Overproducer *∆metJ*","Co-Culture vs wild-type"
"94",4,52,"wt",6,5.2e+08,10,"Overproducer *∆metJ*","Co-Culture vs wild-type"
"95",4,44,"wt",6,4.4e+08,11,"Overproducer *∆metJ*","Co-Culture vs wild-type"
"96",4,70,"wt",6,7e+08,12,"Overproducer *∆metJ*","Co-Culture vs wild-type"
"97",7,140,"wt",5,1.4e+08,1,"Overproducer *∆metJ*","Co-Culture vs wild-type"
"98",7,313,"wt",5,3.13e+08,2,"Overproducer *∆metJ*","Co-Culture vs wild-type"
"99",7,238,"wt",5,2.38e+08,3,"Overproducer *∆metJ*","Co-Culture vs wild-type"
"100",7,47,"wt",6,4.7e+08,4,"Overproducer *∆metJ*","Co-Culture vs wild-type"
"101",7,238,"wt",5,2.38e+08,5,"Overproducer *∆metJ*","Co-Culture vs wild-type"
"102",7,54,"wt",6,5.4e+08,6,"Overproducer *∆metJ*","Co-Culture vs wild-type"
"103",7,39,"wt",6,3.9e+08,7,"Overproducer *∆metJ*","Co-Culture vs wild-type"
"104",7,30,"wt",6,3e+08,8,"Overproducer *∆metJ*","Co-Culture vs wild-type"
"105",7,220,"wt",5,2.2e+08,9,"Overproducer *∆metJ*","Co-Culture vs wild-type"
"106",7,256,"wt",5,2.56e+08,10,"Overproducer *∆metJ*","Co-Culture vs wild-type"
"107",7,146,"wt",5,1.46e+08,11,"Overproducer *∆metJ*","Co-Culture vs wild-type"
"108",7,54,"wt",6,5.4e+08,12,"Overproducer *∆metJ*","Co-Culture vs wild-type"
"109",10,94,"wt",5,9.4e+07,1,"Overproducer *∆metJ*","Co-Culture vs wild-type"
"110",10,81,"wt",5,8.1e+07,2,"Overproducer *∆metJ*","Co-Culture vs wild-type"
"111",10,62,"wt",5,6.2e+07,3,"Overproducer *∆metJ*","Co-Culture vs wild-type"
"112",10,274,"wt",5,2.74e+08,4,"Overproducer *∆metJ*","Co-Culture vs wild-type"
"113",10,63,"wt",5,6.3e+07,5,"Overproducer *∆metJ*","Co-Culture vs wild-type"
"114",10,119,"wt",5,1.19e+08,6,"Overproducer *∆metJ*","Co-Culture vs wild-type"
"115",10,54,"wt",5,5.4e+07,7,"Overproducer *∆metJ*","Co-Culture vs wild-type"
"116",10,82,"wt",5,8.2e+07,8,"Overproducer *∆metJ*","Co-Culture vs wild-type"
"117",10,77,"wt",5,7.7e+07,9,"Overproducer *∆metJ*","Co-Culture vs wild-type"
"118",10,77,"wt",5,7.7e+07,10,"Overproducer *∆metJ*","Co-Culture vs wild-type"
"119",10,107,"wt",5,1.07e+08,11,"Overproducer *∆metJ*","Co-Culture vs wild-type"
"120",10,150,"wt",5,1.5e+08,12,"Overproducer *∆metJ*","Co-Culture vs wild-type"
"121",0,84,"∆metB",4,8400000,1,"Auxotroph *∆metB*","Co-Culture vs wild-type"
"122",0,107,"∆metB",4,10700000,2,"Auxotroph *∆metB*","Co-Culture vs wild-type"
"123",0,73,"∆metB",4,7300000,3,"Auxotroph *∆metB*","Co-Culture vs wild-type"
"124",0,92,"∆metB",4,9200000,4,"Auxotroph *∆metB*","Co-Culture vs wild-type"
"125",0,65,"∆metB",4,6500000,5,"Auxotroph *∆metB*","Co-Culture vs wild-type"
"126",0,71,"∆metB",4,7100000,6,"Auxotroph *∆metB*","Co-Culture vs wild-type"
"127",0,94,"∆metB",4,9400000,7,"Auxotroph *∆metB*","Co-Culture vs wild-type"
"128",0,97,"∆metB",4,9700000,8,"Auxotroph *∆metB*","Co-Culture vs wild-type"
"129",0,90,"∆metB",4,9e+06,9,"Auxotroph *∆metB*","Co-Culture vs wild-type"
"130",0,90,"∆metB",4,9e+06,10,"Auxotroph *∆metB*","Co-Culture vs wild-type"
"131",0,22,"∆metB",4,2200000,11,"Auxotroph *∆metB*","Co-Culture vs wild-type"
"132",0,83,"∆metB",4,8300000,12,"Auxotroph *∆metB*","Co-Culture vs wild-type"
"133",1,63,"∆metB",6,6.3e+08,1,"Auxotroph *∆metB*","Co-Culture vs wild-type"
"134",1,32,"∆metB",6,3.2e+08,2,"Auxotroph *∆metB*","Co-Culture vs wild-type"
"135",1,56,"∆metB",6,5.6e+08,3,"Auxotroph *∆metB*","Co-Culture vs wild-type"
"136",1,45,"∆metB",6,4.5e+08,4,"Auxotroph *∆metB*","Co-Culture vs wild-type"
"137",1,51,"∆metB",6,5.1e+08,5,"Auxotroph *∆metB*","Co-Culture vs wild-type"
"138",1,57,"∆metB",6,5.7e+08,6,"Auxotroph *∆metB*","Co-Culture vs wild-type"
"139",1,44,"∆metB",6,4.4e+08,7,"Auxotroph *∆metB*","Co-Culture vs wild-type"
"140",1,34,"∆metB",6,3.4e+08,8,"Auxotroph *∆metB*","Co-Culture vs wild-type"
"141",1,50,"∆metB",6,5e+08,9,"Auxotroph *∆metB*","Co-Culture vs wild-type"
"142",1,59,"∆metB",6,5.9e+08,10,"Auxotroph *∆metB*","Co-Culture vs wild-type"
"143",1,64,"∆metB",6,6.4e+08,11,"Auxotroph *∆metB*","Co-Culture vs wild-type"
"144",1,59,"∆metB",6,5.9e+08,12,"Auxotroph *∆metB*","Co-Culture vs wild-type"
"145",4,31,"∆metB",6,3.1e+08,1,"Auxotroph *∆metB*","Co-Culture vs wild-type"
"146",4,25,"∆metB",6,2.5e+08,2,"Auxotroph *∆metB*","Co-Culture vs wild-type"
"147",4,21,"∆metB",6,2.1e+08,3,"Auxotroph *∆metB*","Co-Culture vs wild-type"
"148",4,30,"∆metB",6,3e+08,4,"Auxotroph *∆metB*","Co-Culture vs wild-type"
"149",4,22,"∆metB",6,2.2e+08,5,"Auxotroph *∆metB*","Co-Culture vs wild-type"
"150",4,36,"∆metB",6,3.6e+08,6,"Auxotroph *∆metB*","Co-Culture vs wild-type"
"151",4,33,"∆metB",6,3.3e+08,7,"Auxotroph *∆metB*","Co-Culture vs wild-type"
"152",4,27,"∆metB",6,2.7e+08,8,"Auxotroph *∆metB*","Co-Culture vs wild-type"
"153",4,18,"∆metB",6,1.8e+08,9,"Auxotroph *∆metB*","Co-Culture vs wild-type"
"154",4,37,"∆metB",6,3.7e+08,10,"Auxotroph *∆metB*","Co-Culture vs wild-type"
"155",4,38,"∆metB",6,3.8e+08,11,"Auxotroph *∆metB*","Co-Culture vs wild-type"
"156",4,51,"∆metB",6,5.1e+08,12,"Auxotroph *∆metB*","Co-Culture vs wild-type"
"157",7,154,"∆metB",5,1.54e+08,1,"Auxotroph *∆metB*","Co-Culture vs wild-type"
"158",7,90,"∆metB",5,9e+07,2,"Auxotroph *∆metB*","Co-Culture vs wild-type"
"159",7,139,"∆metB",5,1.39e+08,3,"Auxotroph *∆metB*","Co-Culture vs wild-type"
"160",7,106,"∆metB",5,1.06e+08,4,"Auxotroph *∆metB*","Co-Culture vs wild-type"
"161",7,92,"∆metB",5,9.2e+07,5,"Auxotroph *∆metB*","Co-Culture vs wild-type"
"162",7,107,"∆metB",5,1.07e+08,6,"Auxotroph *∆metB*","Co-Culture vs wild-type"
"163",7,179,"∆metB",5,1.79e+08,7,"Auxotroph *∆metB*","Co-Culture vs wild-type"
"164",7,106,"∆metB",5,1.06e+08,8,"Auxotroph *∆metB*","Co-Culture vs wild-type"
"165",7,127,"∆metB",5,1.27e+08,9,"Auxotroph *∆metB*","Co-Culture vs wild-type"
"166",7,122,"∆metB",5,1.22e+08,10,"Auxotroph *∆metB*","Co-Culture vs wild-type"
"167",7,94,"∆metB",5,9.4e+07,11,"Auxotroph *∆metB*","Co-Culture vs wild-type"
"168",7,177,"∆metB",5,1.77e+08,12,"Auxotroph *∆metB*","Co-Culture vs wild-type"
"169",10,71,"∆metB",5,7.1e+07,1,"Auxotroph *∆metB*","Co-Culture vs wild-type"
"170",10,25,"∆metB",5,2.5e+07,2,"Auxotroph *∆metB*","Co-Culture vs wild-type"
"171",10,81,"∆metB",5,8.1e+07,3,"Auxotroph *∆metB*","Co-Culture vs wild-type"
"172",10,36,"∆metB",5,3.6e+07,4,"Auxotroph *∆metB*","Co-Culture vs wild-type"
"173",10,39,"∆metB",5,3.9e+07,5,"Auxotroph *∆metB*","Co-Culture vs wild-type"
"174",10,20,"∆metB",5,2e+07,6,"Auxotroph *∆metB*","Co-Culture vs wild-type"
"175",10,69,"∆metB",5,6.9e+07,7,"Auxotroph *∆metB*","Co-Culture vs wild-type"
"176",10,19,"∆metB",5,1.9e+07,8,"Auxotroph *∆metB*","Co-Culture vs wild-type"
"177",10,64,"∆metB",5,6.4e+07,9,"Auxotroph *∆metB*","Co-Culture vs wild-type"
"178",10,27,"∆metB",5,2.7e+07,10,"Auxotroph *∆metB*","Co-Culture vs wild-type"
"179",10,30,"∆metB",5,3e+07,11,"Auxotroph *∆metB*","Co-Culture vs wild-type"
"180",10,86,"∆metB",5,8.6e+07,12,"Auxotroph *∆metB*","Co-Culture vs wild-type"
"181",0,93,"wt",4,9300000,1,"Auxotroph *∆metB*","Co-Culture vs wild-type"
"182",0,132,"wt",4,13200000,2,"Auxotroph *∆metB*","Co-Culture vs wild-type"
"183",0,116,"wt",4,11600000,3,"Auxotroph *∆metB*","Co-Culture vs wild-type"
"184",0,100,"wt",4,1e+07,4,"Auxotroph *∆metB*","Co-Culture vs wild-type"
"185",0,76,"wt",4,7600000,5,"Auxotroph *∆metB*","Co-Culture vs wild-type"
"186",0,93,"wt",4,9300000,6,"Auxotroph *∆metB*","Co-Culture vs wild-type"
"187",0,116,"wt",4,11600000,7,"Auxotroph *∆metB*","Co-Culture vs wild-type"
"188",0,103,"wt",4,10300000,8,"Auxotroph *∆metB*","Co-Culture vs wild-type"
"189",0,140,"wt",4,1.4e+07,9,"Auxotroph *∆metB*","Co-Culture vs wild-type"
"190",0,120,"wt",4,1.2e+07,10,"Auxotroph *∆metB*","Co-Culture vs wild-type"
"191",0,32,"wt",4,3200000,11,"Auxotroph *∆metB*","Co-Culture vs wild-type"
"192",0,93,"wt",4,9300000,12,"Auxotroph *∆metB*","Co-Culture vs wild-type"
"193",1,73,"wt",6,7.3e+08,1,"Auxotroph *∆metB*","Co-Culture vs wild-type"
"194",1,43,"wt",6,4.3e+08,2,"Auxotroph *∆metB*","Co-Culture vs wild-type"
"195",1,62,"wt",6,6.2e+08,3,"Auxotroph *∆metB*","Co-Culture vs wild-type"
"196",1,99,"wt",6,9.9e+08,4,"Auxotroph *∆metB*","Co-Culture vs wild-type"
"197",1,91,"wt",6,9.1e+08,5,"Auxotroph *∆metB*","Co-Culture vs wild-type"
"198",1,89,"wt",6,8.9e+08,6,"Auxotroph *∆metB*","Co-Culture vs wild-type"
"199",1,75,"wt",6,7.5e+08,7,"Auxotroph *∆metB*","Co-Culture vs wild-type"
"200",1,66,"wt",6,6.6e+08,8,"Auxotroph *∆metB*","Co-Culture vs wild-type"
"201",1,73,"wt",6,7.3e+08,9,"Auxotroph *∆metB*","Co-Culture vs wild-type"
"202",1,84,"wt",6,8.4e+08,10,"Auxotroph *∆metB*","Co-Culture vs wild-type"
"203",1,83,"wt",6,8.3e+08,11,"Auxotroph *∆metB*","Co-Culture vs wild-type"
"204",1,126,"wt",6,1.26e+09,12,"Auxotroph *∆metB*","Co-Culture vs wild-type"
"205",4,48,"wt",6,4.8e+08,1,"Auxotroph *∆metB*","Co-Culture vs wild-type"
"206",4,39,"wt",6,3.9e+08,2,"Auxotroph *∆metB*","Co-Culture vs wild-type"
"207",4,51,"wt",6,5.1e+08,3,"Auxotroph *∆metB*","Co-Culture vs wild-type"
"208",4,55,"wt",6,5.5e+08,4,"Auxotroph *∆metB*","Co-Culture vs wild-type"
"209",4,61,"wt",6,6.1e+08,5,"Auxotroph *∆metB*","Co-Culture vs wild-type"
"210",4,51,"wt",6,5.1e+08,6,"Auxotroph *∆metB*","Co-Culture vs wild-type"
"211",4,61,"wt",6,6.1e+08,7,"Auxotroph *∆metB*","Co-Culture vs wild-type"
"212",4,39,"wt",6,3.9e+08,8,"Auxotroph *∆metB*","Co-Culture vs wild-type"
"213",4,46,"wt",6,4.6e+08,9,"Auxotroph *∆metB*","Co-Culture vs wild-type"
"214",4,63,"wt",6,6.3e+08,10,"Auxotroph *∆metB*","Co-Culture vs wild-type"
"215",4,60,"wt",6,6e+08,11,"Auxotroph *∆metB*","Co-Culture vs wild-type"
"216",4,76,"wt",6,7.6e+08,12,"Auxotroph *∆metB*","Co-Culture vs wild-type"
"217",7,197,"wt",5,1.97e+08,1,"Auxotroph *∆metB*","Co-Culture vs wild-type"
"218",7,96,"wt",5,9.6e+07,2,"Auxotroph *∆metB*","Co-Culture vs wild-type"
"219",7,228,"wt",5,2.28e+08,3,"Auxotroph *∆metB*","Co-Culture vs wild-type"
"220",7,171,"wt",5,1.71e+08,4,"Auxotroph *∆metB*","Co-Culture vs wild-type"
"221",7,166,"wt",5,1.66e+08,5,"Auxotroph *∆metB*","Co-Culture vs wild-type"
"222",7,213,"wt",5,2.13e+08,6,"Auxotroph *∆metB*","Co-Culture vs wild-type"
"223",7,237,"wt",5,2.37e+08,7,"Auxotroph *∆metB*","Co-Culture vs wild-type"
"224",7,202,"wt",5,2.02e+08,8,"Auxotroph *∆metB*","Co-Culture vs wild-type"
"225",7,162,"wt",5,1.62e+08,9,"Auxotroph *∆metB*","Co-Culture vs wild-type"
"226",7,208,"wt",5,2.08e+08,10,"Auxotroph *∆metB*","Co-Culture vs wild-type"
"227",7,182,"wt",5,1.82e+08,11,"Auxotroph *∆metB*","Co-Culture vs wild-type"
"228",7,260,"wt",5,2.6e+08,12,"Auxotroph *∆metB*","Co-Culture vs wild-type"
"229",10,69,"wt",5,6.9e+07,1,"Auxotroph *∆metB*","Co-Culture vs wild-type"
"230",10,37,"wt",5,3.7e+07,2,"Auxotroph *∆metB*","Co-Culture vs wild-type"
"231",10,71,"wt",5,7.1e+07,3,"Auxotroph *∆metB*","Co-Culture vs wild-type"
"232",10,38,"wt",5,3.8e+07,4,"Auxotroph *∆metB*","Co-Culture vs wild-type"
"233",10,80,"wt",5,8e+07,5,"Auxotroph *∆metB*","Co-Culture vs wild-type"
"234",10,38,"wt",5,3.8e+07,6,"Auxotroph *∆metB*","Co-Culture vs wild-type"
"235",10,66,"wt",5,6.6e+07,7,"Auxotroph *∆metB*","Co-Culture vs wild-type"
"236",10,23,"wt",5,2.3e+07,8,"Auxotroph *∆metB*","Co-Culture vs wild-type"
"237",10,49,"wt",5,4.9e+07,9,"Auxotroph *∆metB*","Co-Culture vs wild-type"
"238",10,35,"wt",5,3.5e+07,10,"Auxotroph *∆metB*","Co-Culture vs wild-type"
"239",10,59,"wt",5,5.9e+07,11,"Auxotroph *∆metB*","Co-Culture vs wild-type"
"240",10,86,"wt",5,8.6e+07,12,"Auxotroph *∆metB*","Co-Culture vs wild-type"
