"","time","r","eco","wrap"
"1",0,0,"∆metJ","Selection Rate vs. wild-type"
"2",0,0,"∆metJ","Selection Rate vs. wild-type"
"3",0,0,"∆metJ","Selection Rate vs. wild-type"
"4",0,0,"∆metJ","Selection Rate vs. wild-type"
"5",0,0,"∆metJ","Selection Rate vs. wild-type"
"6",0,0,"∆metJ","Selection Rate vs. wild-type"
"7",0,0,"∆metJ","Selection Rate vs. wild-type"
"8",0,0,"∆metJ","Selection Rate vs. wild-type"
"9",0,0,"∆metJ","Selection Rate vs. wild-type"
"10",0,0,"∆metJ","Selection Rate vs. wild-type"
"11",0,0,"∆metJ","Selection Rate vs. wild-type"
"12",0,0,"∆metJ","Selection Rate vs. wild-type"
"13",1,-0.473673358134698,"∆metJ","Selection Rate vs. wild-type"
"14",1,-1.11132432425647,"∆metJ","Selection Rate vs. wild-type"
"15",1,-0.956758068916286,"∆metJ","Selection Rate vs. wild-type"
"16",1,-1.0642446451639,"∆metJ","Selection Rate vs. wild-type"
"17",1,-0.545511181753881,"∆metJ","Selection Rate vs. wild-type"
"18",1,-1.01291756756323,"∆metJ","Selection Rate vs. wild-type"
"19",1,-0.34746198071665,"∆metJ","Selection Rate vs. wild-type"
"20",1,-0.612961768640715,"∆metJ","Selection Rate vs. wild-type"
"21",1,-1.14330637561554,"∆metJ","Selection Rate vs. wild-type"
"22",1,-0.792094481383058,"∆metJ","Selection Rate vs. wild-type"
"23",1,-0.16961490552484,"∆metJ","Selection Rate vs. wild-type"
"24",1,-0.90136508165748,"∆metJ","Selection Rate vs. wild-type"
"25",4,-0.369040992778673,"∆metJ","Selection Rate vs. wild-type"
"26",4,-0.104666460256385,"∆metJ","Selection Rate vs. wild-type"
"27",4,-0.0387314909904152,"∆metJ","Selection Rate vs. wild-type"
"28",4,-0.0544614519247346,"∆metJ","Selection Rate vs. wild-type"
"29",4,0.0644301960548428,"∆metJ","Selection Rate vs. wild-type"
"30",4,-0.203255190540298,"∆metJ","Selection Rate vs. wild-type"
"31",4,-0.0226844877483386,"∆metJ","Selection Rate vs. wild-type"
"32",4,0.0127172553214587,"∆metJ","Selection Rate vs. wild-type"
"33",4,0.0507528438917402,"∆metJ","Selection Rate vs. wild-type"
"34",4,-0.241662595471868,"∆metJ","Selection Rate vs. wild-type"
"35",4,-0.043331912597405,"∆metJ","Selection Rate vs. wild-type"
"36",4,-0.135155036036055,"∆metJ","Selection Rate vs. wild-type"
"37",7,-0.117759784979198,"∆metJ","Selection Rate vs. wild-type"
"38",7,-0.236416862708841,"∆metJ","Selection Rate vs. wild-type"
"39",7,-0.208051436357665,"∆metJ","Selection Rate vs. wild-type"
