"","sample","k","n0","r","t_mid","t_gen","auc_l","auc_e","sigma","note","strain","replicate","media","background"
"1","B1",0.42063764616695,0.00159111553996351,0.0364316604741057,152.986345534388,19.0259563121645,497.155684563469,501.0525,0.132546307360964,"","overproducer ∆metJ","1","Met (-)","mutant"
"2","B2",0.55194510514494,0.0484139556697306,0.00961130478598855,243.656560252253,72.1179065687753,597.091327524529,592.92,0.0390147620996194,"","overproducer ∆metJ","2","Met (-)","mutant"
"3","B3",0.535601066511623,0.0122974057187708,0.0173063524383449,216.728140684072,40.0516043475558,598.228744435248,596.9175,0.0132507758011358,"","overproducer ∆metJ","3","Met (-)","mutant"
"4","B4",0.526007242063583,0.00327813494884139,0.0306776209386434,165.32535990576,22.5945545759976,615.150139651225,615.165,0.0115912146969326,"","wild-type (unsupplemented)","1","Met (-)","wt"
"5","B5",0.579257862242971,0.0347680673190577,0.0157017740707455,175.212675201458,44.1445136987017,669.532413325428,667.02,0.0230708871451475,"","wild-type (unsupplemented)","2","Met (-)","wt"
"6","B6",0.557687774391699,0.00875430481548032,0.0230773085144765,179.329044742268,30.0358761562308,644.121207165063,642.8325,0.0176464523694996,"","wild-type (unsupplemented)","3","Met (-)","wt"
"7","B7",0.957404044006242,0.0596553915849735,0.0111336803875872,243.522851940239,62.2567880907311,1039.45278195239,1031.67,0.0648738747930349,"","auxotroph ∆metB","1","Met (+)","mutant"
"8","B8",0.748095466523843,0.016599657904773,0.0171411101541137,220.855555419625,40.4377064453784,832.507090414488,829.6275,0.032306551794641,"","auxotroph ∆metB","2","Met (+)","mutant"
"9","B9",0.977716378038744,0.0415233074038592,0.0123981300205786,251.29328602836,55.9073972776094,1056.13556172532,1048.845,0.0571026755660835,"","auxotroph ∆metB","3","Met (+)","mutant"
"10","B10",0.644825603493062,0.0165619243564256,0.0180993780046379,200.882792842271,38.2967403842458,730.380801223116,730.3425,0.0173333483752434,"","wild-type (supplemented)","1","Met (+)","wt"
"11","B11",0.535293002188424,0.028055527315071,0.0164194296829815,176.302933615176,42.2150582537213,618.487346922118,617.37,0.0503765961946372,"","wild-type (supplemented)","2","Met (+)","wt"
"12","B12",0.690541720329989,0.0202602592051089,0.0184476512325241,189.673816933431,37.573736180457,789.780822501045,789.2175,0.0474223347204437,"","wild-type (supplemented)","3","Met (+)","wt"
"13","C1",0.410278565278794,0.00374319373044552,0.0301020881943753,155.727792841535,23.0265480615217,483.70518853017,485.565,0.105921542060627,"","overproducer ∆metJ","1","Met (-)","mutant"
"14","C2",0.559818292473874,0.0259779527642329,0.0132141422582534,228.758593496566,52.4549506894413,617.281198113345,614.205,0.031735623650069,"","overproducer ∆metJ","2","Met (-)","mutant"
"15","C3",0.557980227376434,0.0231089236724594,0.0142062850440911,221.156150625242,48.7915861471644,619.841536179787,617.0475,0.0299677191362854,"","overproducer ∆metJ","3","Met (-)","mutant"
"16","C4",0.582930774858708,0.0134375042159969,0.0201431040841865,186.003970950398,34.4111402921314,669.11023443011,667.5675,0.0151782961191569,"","wild-type (unsupplemented)","1","Met (-)","wt"
"17","C5",0.479239037840078,0.0366244324058528,0.0141857666376265,175.667901505603,48.8621586880919,552.911443395016,550.7025,0.0258090395848234,"","wild-type (unsupplemented)","2","Met (-)","wt"
"18","C6",0.676069408818263,0.0351030870159431,0.0159675485280068,181.911946882701,43.4097431640291,777.31002813298,775.3875,0.0188010704444875,"","wild-type (unsupplemented)","3","Met (-)","wt"
"19","C7",0.90239592526207,0.0452859585564527,0.0136264836059635,215.798095273566,50.8676486615078,1006.55358618108,1000.6425,0.0537764008204766,"","auxotroph ∆metB","1","Met (+)","mutant"
"20","C8",0.731793720341924,0.0357383002452536,0.0128981164213288,230.20464671262,53.7401863898306,805.641577751152,800.7075,0.0498188176890467,"","auxotroph ∆metB","2","Met (+)","mutant"
"21","C9",0.945727599319662,0.056801339949735,0.011840088115823,232.300160371636,58.5424005108228,1037.90635893389,1031.16,0.0573902097623243,"","auxotroph ∆metB","3","Met (+)","mutant"
"22","C10",0.656959032573312,0.0421245585944381,0.0139310287501213,192.428155990075,49.755634920638,747.497807469082,745.11,0.0292555089497414,"","wild-type (supplemented)","1","Met (+)","wt"
"23","C11",0.478478072097148,0.0281517438927485,0.017169642794786,161.468891589675,40.3705067626938,559.819065186179,558.2175,0.0314995993360513,"","wild-type (supplemented)","2","Met (+)","wt"
"24","C12",0.675992243996042,0.00952374810607839,0.0201753983466521,210.563594214359,34.3560592286876,759.634884797864,762.12,0.0893108826522107,"","wild-type (supplemented)","3","Met (+)","wt"
"25","D1",0.413,0.00746097706580432,0.0255906125178037,156.132672504582,27.085994134674,486.57798929117,468.5625,0.0521806822263116,"","overproducer ∆metJ","1","Met (-)","mutant"
"26","D2",0.56590598072554,0.023021308527023,0.0154892429904204,204.04332636165,44.7502296263695,638.497792320515,636.3,0.0263824942087004,"","overproducer ∆metJ","2","Met (-)","mutant"
"27","D3",0.565312306672116,0.0513235429965136,0.00968969641555605,237.783696324592,71.5344579265819,614.718514318132,611.13,0.0384144362426983,"","overproducer ∆metJ","3","Met (-)","mutant"
"28","D4",0.50259528118408,0.0143166694680028,0.0217874196999944,161.995392834609,31.8141014449785,588.879932585628,587.97,0.0116588649133183,"","wild-type (unsupplemented)","1","Met (-)","wt"
"29","D5",0.443615476668892,0.0475145519858647,0.0119843704545962,176.949888641054,57.8375963248124,509.535458324203,507.0825,0.0264263248140439,"","wild-type (unsupplemented)","2","Met (-)","wt"
"30","D6",0.508482326932014,0.0247921757505893,0.0202575936221709,146.656925997681,34.2166593667539,602.99676306014,601.5375,0.0187769380590483,"","wild-type (unsupplemented)","3","Met (-)","wt"
"31","D7",0.930598083545509,0.0500309053409748,0.012237449296686,234.356460216209,56.6414751763388,1020.05452818879,1013.3175,0.0585844069101734,"","auxotroph ∆metB","1","Met (+)","mutant"
"32","D8",0.528697201538507,0.0121322565894507,0.0177562686476501,211.268107965087,39.0367590350509,593.42267895735,592.05,0.0218029473785029,"","auxotroph ∆metB","2","Met (+)","mutant"
"33","D9",0.940654445613153,0.0452348108067845,0.0123658937554254,241.424161659995,56.0531405387368,1024.92816541376,1017.885,0.0560376523280778,"","auxotroph ∆metB","3","Met (+)","mutant"
"34","D10",0.593133254883859,0.0436303891945442,0.0128949463201584,196.453712840729,53.7533979087886,671.79525307166,669.2175,0.0353276134513484,"","wild-type (supplemented)","1","Met (+)","wt"
"35","D11",0.48140195685566,0.0230106629590239,0.0169738613299827,176.257210971358,40.8361519565126,556.431922836372,555.6075,0.0432806364171516,"","wild-type (supplemented)","2","Met (+)","wt"
"36","D12",0.711802524020541,0.0113326634801945,0.0198495360736256,207.766176217097,34.9200695668117,801.792358835708,803.0475,0.0806467789378955,"","wild-type (supplemented)","3","Met (+)","wt"
"37","E1",0.338332542366718,0.00415537306264745,0.0337596742228402,129.955907147798,20.5318089263727,407.581782612031,408.465,0.0663419356573777,"","overproducer ∆metJ","1","Met (-)","mutant"
"38","E2",0.479346163909085,0.0274248654343714,0.0141062345478972,198.639682139622,49.1376474853291,542.707964062073,540.72,0.0236141568215167,"","overproducer ∆metJ","2","Met (-)","mutant"
"39","E3",0.529604948325986,0.0219522090969571,0.01598968261256,196.434784170058,43.3496522323384,601.587609366925,600.3,0.0192141141380602,"","overproducer ∆metJ","3","Met (-)","mutant"
"40","E4",0.5105147386633,0.0266914263195023,0.0171021745020246,169.41573016773,40.5297689178582,593.444965603003,591.8175,0.0165505757857259,"","wild-type (unsupplemented)","1","Met (-)","wt"
"41","E5",0.424154391413003,0.0159739780676753,0.0225117086614804,143.958341300473,30.790518435679,504.462257561044,503.475,0.0136784085590778,"","wild-type (unsupplemented)","2","Met (-)","wt"
"42","E6",0.453773410164352,0.0159719002395513,0.0195459992179768,169.391938157166,35.4623558933965,528.090073436701,527.7675,0.014210108944797,"","wild-type (unsupplemented)","3","Met (-)","wt"
"43","E7",0.893211230115927,0.0284693653781102,0.0139195289938353,245.238357669705,49.7967410295943,971.308767146863,965.6175,0.0462557577799154,"","auxotroph ∆metB","1","Met (+)","mutant"
"44","E8",0.646366783174153,0.0316139061824724,0.0123969023345403,239.384258106008,55.912933880966,705.555067752918,701.9775,0.0280934930307281,"","auxotroph ∆metB","2","Met (+)","mutant"
"45","E9",0.918947515780635,0.046555789351362,0.0117972573706522,248.412583880986,58.7549426771237,994.467220422404,987.45,0.053615248912051,"","auxotroph ∆metB","3","Met (+)","mutant"
"46","E10",0.571909806781563,0.0499139770174718,0.0103397619359751,227.022493297328,67.0370541267766,628.612628845391,625.395,0.0332176915295925,"","wild-type (supplemented)","1","Met (+)","wt"
"47","E11",0.56512694576895,0.0188565306191338,0.0137398891756232,244.99868740709,50.447799956764,614.593313678081,613.2975,0.0429674865565227,"","wild-type (supplemented)","2","Met (+)","wt"
