"","id","conc","time","eco","aa","filtered","supp"
"1","T0 J1",0,0,"j","L-methionine","filtered","without"
"2","T0 J2",0,0,"j","L-methionine","filtered","without"
"3","T0 J3",0,0,"j","L-methionine","filtered","without"
"4","T0 WT1 noM",0,0,"wt","L-methionine","filtered","without"
"5","T0 WT2 noM",0,0,"wt","L-methionine","filtered","without"
"6","T0 WT3 noM",0,0,"wt","L-methionine","filtered","without"
"7","T1 J1",0,2,"j","L-methionine","filtered","without"
"8","T1 J2",0,2,"j","L-methionine","filtered","without"
"9","T1 J3",0,2,"j","L-methionine","filtered","without"
"10","T1 WT1 noM",0,2,"wt","L-methionine","filtered","without"
"11","T1 WT2 noM",0,2,"wt","L-methionine","filtered","without"
"12","T1 WT3 noM",0,2,"wt","L-methionine","filtered","without"
"13","T2 J1",0,4,"j","L-methionine","filtered","without"
"14","T2 J2",0,4,"j","L-methionine","filtered","without"
"15","T2 J3",0,4,"j","L-methionine","filtered","without"
"16","T2 WT1 noM",0,4,"wt","L-methionine","filtered","without"
"17","T2 WT2 noM",0,4,"wt","L-methionine","filtered","without"
"18","T2 WT3 noM",0,4,"wt","L-methionine","filtered","without"
"19","T3 J2",0,6,"j","L-methionine","filtered","without"
"20","T3 J3",0,6,"j","L-methionine","filtered","without"
"21","T3 WT1 noM",0,6,"wt","L-methionine","filtered","without"
"22","T3 WT2 noM",0,6,"wt","L-methionine","filtered","without"
"23","T3 WT3 noM",0,6,"wt","L-methionine","filtered","without"
"24","T0 J1",0.370645980147062,0,"j","L-aspartate","filtered","without"
"25","T0 J2",0.32547337272939,0,"j","L-aspartate","filtered","without"
"26","T0 J3",0.275664460562004,0,"j","L-aspartate","filtered","without"
"27","T0 WT1 noM",0,0,"wt","L-aspartate","filtered","without"
"28","T0 WT2 noM",0,0,"wt","L-aspartate","filtered","without"
"29","T0 WT3 noM",0,0,"wt","L-aspartate","filtered","without"
"30","T1 J1",0,2,"j","L-aspartate","filtered","without"
"31","T1 J2",0.425902815485076,2,"j","L-aspartate","filtered","without"
"32","T1 J3",0,2,"j","L-aspartate","filtered","without"
"33","T1 WT1 noM",0.41118860265497,2,"wt","L-aspartate","filtered","without"
