"","time","strain","count","dilution","cfu","frequency","ID","media","group","evo_group"
"1",0,"∆metB",5,4,5e+05,0.0568181818181818,"M9_1","M9","a","ancestor"
"2",0,"∆metB",25,4,2500000,0.304878048780488,"M9_2","M9","b","ancestor"
"3",0,"∆metB",96,4,9600000,0.64,"M9_3","M9","c","ancestor"
"4",0,"∆metB",124,4,12400000,0.738095238095238,"M9_4","M9","d","ancestor"
"5",0,"∆metB",157,4,15700000,0.877094972067039,"M9_5","M9","e","ancestor"
"6",0,"∆metB",144,4,14400000,0.972972972972973,"M9_6","M9","f","ancestor"
"7",0,"∆metJ",83,4,8300000,0.943181818181818,"M9_1","M9","m","ancestor"
"8",0,"∆metJ",57,4,5700000,0.695121951219512,"M9_2","M9","n","ancestor"
"9",0,"∆metJ",54,4,5400000,0.36,"M9_3","M9","o","ancestor"
"10",0,"∆metJ",44,4,4400000,0.261904761904762,"M9_4","M9","p","ancestor"
"11",0,"∆metJ",22,4,2200000,0.122905027932961,"M9_5","M9","q","ancestor"
"12",0,"∆metJ",4,4,4e+05,0.027027027027027,"M9_6","M9","r","ancestor"
"13",1,"∆metB",0.1,6,1e+06,0.00181488203266788,"M9_1","M9","a","ancestor"
"14",1,"∆metB",2,6,2e+07,0.0285714285714286,"M9_2","M9","b","ancestor"
"15",1,"∆metB",3,6,3e+07,0.05,"M9_3","M9","c","ancestor"
"16",1,"∆metB",3,6,3e+07,0.0265486725663717,"M9_4","M9","d","ancestor"
"17",1,"∆metB",1,6,1e+07,0.025,"M9_5","M9","e","ancestor"
"18",1,"∆metB",3,6,3e+07,0.0508474576271186,"M9_6","M9","f","ancestor"
"19",1,"∆metJ",55,6,5.5e+08,0.998185117967332,"M9_1","M9","m","ancestor"
"20",1,"∆metJ",68,6,6.8e+08,0.971428571428571,"M9_2","M9","n","ancestor"
"21",1,"∆metJ",57,6,5.7e+08,0.95,"M9_3","M9","o","ancestor"
"22",1,"∆metJ",110,6,1.1e+09,0.973451327433628,"M9_4","M9","p","ancestor"
"23",1,"∆metJ",39,6,3.9e+08,0.975,"M9_5","M9","q","ancestor"
"24",1,"∆metJ",56,6,5.6e+08,0.949152542372881,"M9_6","M9","r","ancestor"
"25",2,"∆metB",2,6,2e+07,0.0540540540540541,"M9_1","M9","a","ancestor"
"26",2,"∆metB",3,6,3e+07,0.0588235294117647,"M9_2","M9","b","ancestor"
"27",2,"∆metB",6,6,6e+07,0.162162162162162,"M9_3","M9","c","ancestor"
