"","abundance","count","dilution","ecotype","replicate","culture","time_hours"
"1",3e+07,3,6,"∆metB","b_co1","b_co",24
"2",2e+07,2,6,"∆metB","b_co2","b_co",24
"3",2e+07,2,6,"∆metB","b_co3","b_co",24
"4",6.3e+08,63,6,"∆metJ","j_co1","j_co",24
"5",1.14e+09,114,6,"∆metJ","j_co2","j_co",24
"6",1e+09,100,6,"∆metJ","j_co3","j_co",24
"7",4.2e+07,42,5,"∆metB","b_co1","b_co",0
"8",2.4e+07,24,5,"∆metB","b_co2","b_co",0
"9",3.2e+07,32,5,"∆metB","b_co3","b_co",0
"10",1.9e+07,19,5,"∆metJ","j_co1","j_co",0
"11",7e+06,7,5,"∆metJ","j_co2","j_co",0
"12",2.3e+07,23,5,"∆metJ","j_co3","j_co",0
"13",2.6e+07,26,5,"∆metB","b_co1","b_co",2
"14",2.3e+07,23,5,"∆metB","b_co2","b_co",2
"15",2.5e+07,25,5,"∆metB","b_co3","b_co",2
"16",2.1e+07,21,5,"∆metJ","j_co1","j_co",2
"17",3.8e+07,38,5,"∆metJ","j_co2","j_co",2
"18",4.5e+07,45,5,"∆metJ","j_co3","j_co",2
"19",2.8e+07,28,5,"∆metB","b_co1","b_co",4
"20",2.6e+07,26,5,"∆metB","b_co2","b_co",4
"21",1.9e+07,19,5,"∆metB","b_co3","b_co",4
"22",6.1e+07,61,5,"∆metJ","j_co1","j_co",4
"23",1.15e+08,115,5,"∆metJ","j_co2","j_co",4
"24",1.22e+08,122,5,"∆metJ","j_co3","j_co",4
"25",2.8e+07,28,5,"∆metB","b_co1","b_co",6
"26",2e+07,2,6,"∆metB","b_co2","b_co",6
"27",2.7e+07,27,5,"∆metB","b_co3","b_co",6
"28",1.55e+08,155,5,"∆metJ","j_co1","j_co",6
"29",3.1e+08,31,6,"∆metJ","j_co2","j_co",6
"30",4.3e+08,43,6,"∆metJ","j_co3","j_co",6
"31",4e+07,4,6,"∆metB","b_co1","b_co",10
"32",1e+07,1,6,"∆metB","b_co2","b_co",10
"33",2e+07,2,6,"∆metB","b_co3","b_co",10
"34",9.4e+08,94,6,"∆metJ","j_co1","j_co",10
"35",8.8e+08,88,6,"∆metJ","j_co2","j_co",10
"36",7.2e+08,72,6,"∆metJ","j_co3","j_co",10
"37",1e+07,1,6,"∆metB","b_co1","b_co",14
"38",3e+07,3,6,"∆metB","b_co2","b_co",14
"39",1e+07,1,6,"∆metB","b_co3","b_co",14
"40",1.02e+09,102,6,"∆metJ","j_co1","j_co",14
"41",7.4e+08,74,6,"∆metJ","j_co2","j_co",14
"42",1.22e+09,122,6,"∆metJ","j_co3","j_co",14
"43",1e+07,1,6,"∆metB","b_co1","b_co",18
"44",3e+07,3,6,"∆metB","b_co2","b_co",18
"45",3e+07,3,6,"∆metB","b_co3","b_co",18
"46",1.1e+09,110,6,"∆metJ","j_co1","j_co",18
"47",9.2e+08,92,6,"∆metJ","j_co2","j_co",18
"48",1.09e+09,109,6,"∆metJ","j_co3","j_co",18
