"","time","strain","percent","eco_by_vessel","time_gap","condition","facet"
"1",2,"Auxotroph ∆metB",-0.25,"tube_b","1-2","no_met","Co-Culture"
"2",2,"Auxotroph ∆metB",0,"tube_b","1-2","no_met","Co-Culture"
"3",2,"Auxotroph ∆metB",0.2,"tube_b","1-2","no_met","Co-Culture"
"4",2,"Auxotroph ∆metB",-0.5,"tube_b","1-2","no_met","Co-Culture"
"5",2,"Auxotroph ∆metB",2,"tube_b","1-2","no_met","Co-Culture"
"6",2,"Auxotroph ∆metB",-0.666666666666667,"tube_b","1-2","no_met","Co-Culture"
"7",2,"Auxotroph ∆metB",-0.6,"tube_b","1-2","no_met","Co-Culture"
"8",2,"Auxotroph ∆metB",2,"tube_b","1-2","no_met","Co-Culture"
"9",2,"Auxotroph ∆metB",-0.8,"tube_b","1-2","no_met","Co-Culture"
"10",2,"Overproducer ∆metJ",0.037037037037037,"tube_j","1-2","no_met","Co-Culture"
"11",2,"Overproducer ∆metJ",-0.074468085106383,"tube_j","1-2","no_met","Co-Culture"
"12",2,"Overproducer ∆metJ",-0.456,"tube_j","1-2","no_met","Co-Culture"
"13",2,"Overproducer ∆metJ",-0.0948905109489051,"tube_j","1-2","no_met","Co-Culture"
"14",2,"Overproducer ∆metJ",0.491071428571429,"tube_j","1-2","no_met","Co-Culture"
"15",2,"Overproducer ∆metJ",0.176470588235294,"tube_j","1-2","no_met","Co-Culture"
"16",2,"Overproducer ∆metJ",0.702970297029703,"tube_j","1-2","no_met","Co-Culture"
"17",2,"Overproducer ∆metJ",0.261194029850746,"tube_j","1-2","no_met","Co-Culture"
"18",2,"Overproducer ∆metJ",0.255813953488372,"tube_j","1-2","no_met","Co-Culture"
"19",4,"Auxotroph ∆metB",4,"tube_b","2-4","no_met","Co-Culture"
"20",4,"Auxotroph ∆metB",5,"tube_b","2-4","no_met","Co-Culture"
"21",4,"Auxotroph ∆metB",0.166666666666667,"tube_b","2-4","no_met","Co-Culture"
"22",4,"Auxotroph ∆metB",9,"tube_b","2-4","no_met","Co-Culture"
"23",4,"Auxotroph ∆metB",-0.333333333333333,"tube_b","2-4","no_met","Co-Culture"
"24",4,"Auxotroph ∆metB",0,"tube_b","2-4","no_met","Co-Culture"
"25",4,"Auxotroph ∆metB",2,"tube_b","2-4","no_met","Co-Culture"
"26",4,"Auxotroph ∆metB",0.666666666666667,"tube_b","2-4","no_met","Co-Culture"
"27",4,"Auxotroph ∆metB",3,"tube_b","2-4","no_met","Co-Culture"
"28",4,"Overproducer ∆metJ",-0.273809523809524,"tube_j","2-4","no_met","Co-Culture"
"29",4,"Overproducer ∆metJ",-0.137931034482759,"tube_j","2-4","no_met","Co-Culture"
"30",4,"Overproducer ∆metJ",-0.323529411764706,"tube_j","2-4","no_met","Co-Culture"
"31",4,"Overproducer ∆metJ",-0.169354838709677,"tube_j","2-4","no_met","Co-Culture"
"32",4,"Overproducer ∆metJ",-0.341317365269461,"tube_j","2-4","no_met","Co-Culture"
"33",4,"Overproducer ∆metJ",-0.2125,"tube_j","2-4","no_met","Co-Culture"
"34",4,"Overproducer ∆metJ",-0.27906976744186,"tube_j","2-4","no_met","Co-Culture"
"35",4,"Overproducer ∆metJ",-0.414201183431953,"tube_j","2-4","no_met","Co-Culture"
"36",4,"Overproducer ∆metJ",-0.382716049382716,"tube_j","2-4","no_met","Co-Culture"
"37",7,"Auxotroph ∆metB",0.0733333333333333,"tube_b","4-7","no_met","Co-Culture"
"38",7,"Auxotroph ∆metB",0.233333333333333,"tube_b","4-7","no_met","Co-Culture"
