"","Time","sample","value","strain","replicate","media","background"
"1",15,"B1",0.03439513,"overproducer ∆metJ","1","Met (-)","mutant"
"2",15,"B2",0.03239513,"overproducer ∆metJ","2","Met (-)","mutant"
"3",15,"B3",0.02839513,"overproducer ∆metJ","3","Met (-)","mutant"
"4",15,"B4",0.03439513,"wild-type (unsupplemented)","1","Met (-)","wt"
"5",15,"B5",0.03339513,"wild-type (unsupplemented)","2","Met (-)","wt"
"6",15,"B6",0.03439513,"wild-type (unsupplemented)","3","Met (-)","wt"
"7",15,"B7",0.03039513,"auxotroph ∆metB","1","Met (+)","mutant"
"8",15,"B8",0.02939513,"auxotroph ∆metB","2","Met (+)","mutant"
"9",15,"B9",0.03039513,"auxotroph ∆metB","3","Met (+)","mutant"
"10",15,"B10",0.03739513,"wild-type (supplemented)","1","Met (+)","wt"
"11",15,"B11",0.03539513,"wild-type (supplemented)","2","Met (+)","wt"
"12",15,"B12",0.03439513,"wild-type (supplemented)","3","Met (+)","wt"
"13",15,"C1",0.03139513,"overproducer ∆metJ","1","Met (-)","mutant"
"14",15,"C2",0.03039513,"overproducer ∆metJ","2","Met (-)","mutant"
"15",15,"C3",0.03139513,"overproducer ∆metJ","3","Met (-)","mutant"
"16",15,"C4",0.03339513,"wild-type (unsupplemented)","1","Met (-)","wt"
"17",15,"C5",0.03439513,"wild-type (unsupplemented)","2","Met (-)","wt"
"18",15,"C6",0.03639513,"wild-type (unsupplemented)","3","Met (-)","wt"
"19",15,"C7",0.03339513,"auxotroph ∆metB","1","Met (+)","mutant"
"20",15,"C8",0.03139513,"auxotroph ∆metB","2","Met (+)","mutant"
"21",15,"C9",0.03039513,"auxotroph ∆metB","3","Met (+)","mutant"
"22",15,"C10",0.03839513,"wild-type (supplemented)","1","Met (+)","wt"
"23",15,"C11",0.03539513,"wild-type (supplemented)","2","Met (+)","wt"
"24",15,"C12",0.03339513,"wild-type (supplemented)","3","Met (+)","wt"
"25",15,"D1",0.02839513,"overproducer ∆metJ","1","Met (-)","mutant"
"26",15,"D2",0.03439513,"overproducer ∆metJ","2","Met (-)","mutant"
"27",15,"D3",0.03039513,"overproducer ∆metJ","3","Met (-)","mutant"
"28",15,"D4",0.03339513,"wild-type (unsupplemented)","1","Met (-)","wt"
"29",15,"D5",0.03339513,"wild-type (unsupplemented)","2","Met (-)","wt"
"30",15,"D6",0.03739513,"wild-type (unsupplemented)","3","Met (-)","wt"
"31",15,"D7",0.03439513,"auxotroph ∆metB","1","Met (+)","mutant"
